SYMBOL,29 jan 2020,30 jan 2020,31 jan 2020
ECLFINANCE,0.0,24.900024,108.98999,
ECLFINANCE,0.0,0.0,0.0,
ECLFINANCE,0.0,0.0,55.0,
ECLFINANCE,0.0,0.0,12.01001,
ECLFINANCE,0.0,21.0,17.0,
ECLFINANCE,110.0,54.0,0.0,
ECLFINANCE,13.97998,16.0,3.25,
ECLFINANCE,6.0,30.0,0.20000005,
ECLFINANCE,39.0,96.109985,0.100000024,
ECLFINANCE,24.0,19.900024,0.0,
EDELWEISS,4.300003,0.0,10.0,
EDL,0.20000005,6.0999985,45.099976,
EDUCOMP,0.100000024,0.29999995,430.69922,
EHFLNCD,3.0100098,0.100000024,8.900009,
EICHERMOT,1136.0,29.0,0.30000305,
EIDPARRY,5.899994,380.0,21.75,
EIFFL,0.5,7.599991,3.5,
EIHAHOTELS,7.5500183,0.34999847,16.75,
EIHOTEL,2.25,7.100006,1.4000015,
EIMCOELECO,15.099976,5.600006,5.9000015,
EKC,1.0,17.0,0.8500004,
ELECON,1.2000008,1.2999992,13.300003,
ELECTCAST,0.75,1.1500015,8.299988,
ELECTHERM,2.0,0.39999962,1.1999989,
ELGIEQUIP,8.550003,6.0,16.0,
ELGIRUBCO,0.79999924,6.799988,0.0,
EMAMILTD,8.350006,1.2999992,0.0,
EMAMIPAP,0.0,21.199982,6.75,
EMAMIREAL,1.1000061,0.0,0.049999952,
EMBASSY,7.0700073,3.0,5.6500015,
EMCO,0.099999964,3.8900146,7.699997,
EMKAY,3.5499954,0.0,0.03999996,
EMKAYTOOLS,0.0,3.2000008,0.07000065,
EMMBI,2.4000015,4.25,38.5,
EMOFSR1RDP,0.020000458,0.26000023,0.3000002,
EMOFSR1RGG,0.11000061,0.19999981,5.9000015,
ENDURANCE,59.75,57.0,6.150009,
ENERGYDEV,0.19999981,0.25,0.8000002,
ENGINERSIN,2.9000015,2.2000046,0.0,
ENIL,11.099991,12.350006,12.549995,
EON,0.54999924,1.0500002,49.98999,
EQ30,10.899994,8.0,0.0,
EQUITAS,3.300003,3.5999985,100.0,
ERFLNCDI,18.0,0.0,0.0,
ERFLNCDI,9.799988,39.900024,0.0,
ERFLNCDI,0.0,0.0,16.900024,
ERFLNCDI,8.01001,125.0,0.6999998,
ERIS,45.49997,20.029968,69.900024,
EROSMEDIA,0.35000038,0.0,23.5,
ESABINDIA,94.80005,24.0,0.5999999,
ESCORTS,30.799988,0.39999962,10.899994,
ESSARSHPNG,0.5500002,56.5,2.6499977,
ESSELPACK,10.849991,77.400024,0.100000024,
ESTER,0.8999977,0.25,0.100000024,
EUROCERA,0.050000012,5.849991,0.0,
EUROMULTI,0.100000024,2.2000008,3.1499977,
EUROTEXIND,0.35000038,0.0,15.549988,
EVEREADY,1.0499992,0.0,0.100000024,
EVERESTIND,18.5,0.4499998,53.0,
EXCEL,0.100000024,5.4000015,5.699997,
EXCELINDUS,16.900024,13.25,19.649994,
EXIDEIND,3.199997,0.100000024,1.0,
EXPLEOSOL,15.399994,50.200012,8.899994,
FACT,2.7000008,5.200012,0.70000076,
FAIRCHEM,23.799988,20.700012,1.5,
FCL,0.79999924,1.949997,0.049999997,
FCONSUMER,0.70000076,18.950012,14.949997,
FCSSOFT,0.049999997,1.3500004,3.0,
FDC,3.5,1.1499996,0.8999996,
FEDERALBNK,1.7999954,0.049999997,1.0499992,
FEL,0.9000015,5.0,24.049988,
FELDVR,0.95000076,3.7000046,1.0,
FIEMIND,11.100006,1.25,13.850006,
FILATEX,0.54999924,1.0,76.19995,
FINCABLES,14.799988,15.0,12.25,
FINEORG,164.6001,2.4500008,0.5,
FINPIPE,23.900024,8.950012,10.5,
FLEXITUFF,0.6500001,93.19995,16.0,
FLFL,5.350006,7.950012,11.5,
FLUOROCHEM,21.700012,0.4000001,1.3500004,
FMGOETZE,21.149963,10.149994,58.0,
FMNL,2.5499992,10.200012,6.25,
FOCUS,0.0,19.25,85.80005,
FORCEMOT,56.150024,1.4499989,0.0,
FORTIS,2.1500092,0.0,9.399994,
FOSECOIND,83.650024,92.75,11.950012,
FOURTHDIM,0.0,2.5999908,2.4500008,
FRETAIL,11.799988,104.75,5.0999985,
FSC,5.950012,0.0,9.100006,
FSL,2.1500015,8.050018,5.0,
GABRIEL,3.399994,18.350006,0.099999905,
GAEL,18.199997,2.0499992,57.899902,
GAIL,3.2500076,3.5999985,1.7999992,
GAL,0.1500001,8.5,2.9000015,
GALAXYSURF,44.900024,3.75,0.050000012,
GALLANTT,3.25,0.1500001,10.899994,
GALLISPAT,0.70000076,79.0,10.0,
GAMMNINFRA,0.050000012,1.8999996,2.9000015,
GANDHITUBE,7.899994,0.80000114,3.6499977,
GANECOS,7.5,0.050000012,0.0,
GANESHHOUC,3.6500015,3.0,0.75,
GANGESSECU,3.2999992,12.549988,70.1499,
GANGOTRI,0.049999952,2.3499985,1.0,
GARDENSILK,0.8999996,3.2999992,0.050000012,
GARFIBRES,77.400024,0.049999952,3.7999992,
GATI,2.1500015,0.6999998,4.350006,
GAYAHWS,0.050000012,96.19995,2.100006,
GAYAPROJ,0.0,1.0,0.0,
GDL,7.449997,0.050000012,1.6500015,
GEECEE,9.049995,0.0,0.39999962,
GEEKAYWIRE,0.0,4.0,0.79999924,
GENESYS,1.9000015,2.75,0.80000114,
GENUSPAPER,0.5499997,5.299999,12.25,
GENUSPOWER,1.1499996,0.8000002,18.700012,
GEOJITFSL,0.70000076,0.8999996,8.5,
GEPIL,23.349976,0.79999924,8.899994,
GESHIP,13.200012,28.950012,6.300003,
GET&D,6.0,10.650024,2.75,
GFLLIMITED,0.0,16.649994,6.950012,
GHCL,3.850006,13.899994,2.1999989,
GICHSGFIN,2.699997,4.899994,34.5,
GICRE,9.75,2.5,0.8000002,
GILLANDERS,2.5,10.649994,2.5999985,
GILLETTE,35.25,2.0,4.0,
GINNIFILA,0.54999924,34.450195,39.0,
GIPCL,2.800003,0.4499998,16.100006,
GKWLIMITED,8.400024,3.0999985,0.0,
GLAXO,63.30005,38.950012,4.6000023,
GLENMARK,11.75,44.399902,0.2999997,
GLFL,0.0,19.300018,3.850006,
GLOBALVECT,4.6000023,0.0,11.800018,
GLOBOFFS,0.2999997,3.5499992,2.0,
GLOBUSSPR,8.800003,0.3000002,89.6499,
GMBREW,12.100006,8.300003,1.0500011,
GMDCLTD,1.4000015,14.150024,10.450012,
GMMPFAUDLR,73.0,2.0999985,4.399994,
GMRINFRA,0.34999847,84.0,16.100006,
GNA,6.599991,0.9000015,13.950012,
GNFC,6.550003,8.350006,64.349976,
GOACARBON,10.25,10.0,0.0,
GOCLCORP,7.850006,4.899994,13.900024,
GODFRYPHLP,162.0,23.450012,14.899963,
GODREJAGRO,15.150024,87.900024,15.399994,
GODREJCP,34.75,0.0,28.099976,
GODREJIND,16.049988,15.849976,0.050000012,
GODREJPROP,41.94995,53.200012,3.4000015,
GOENKA,0.050000012,10.900024,0.6499996,
GOKEX,2.7000046,52.349976,1.1000004,
GOKUL,0.6499996,0.050000012,0.20000076,
GOKULAGRO,1.1499996,2.75,1.1000004,
GOLDBEES,1.0,0.40000057,23.699997,
GOLDENTOBC,0.95000076,0.8499994,24.849854,
GOLDIAM,8.899994,0.27000046,0.0,
GOLDSHARE,51.0,1.25,0.8000002,
